"name","gender","age","class","embarked","country","ticketno","fare","sibsp","parch","survived"
"Baclini, Miss. Helene Barbara","female",0.75,"3rd","C","Lebanon",2666,19.0502,"2","1","yes"
"Baclini, Miss. Marie Catherine","female",5,"3rd","C","Lebanon",2666,19.0502,"2","1","yes"
"Baclini, Mrs. Latifa","female",23,"3rd","C","Lebanon",2666,19.0502,"0","3","yes"
"Badman, Miss. Emily Louisa","female",18,"3rd","S","England",31416,8.01,"0","0","yes"
"Badt, Mr. Mohamed","male",40,"3rd","C","Lebanon",2623,7.0406,"0","0","no"
"Bailey, Mr. Percy","male",18,"2nd","S","England",29108,11.1,"0","0","no"
"Bainbrigge, Mr. Charles Robert","male",22,"2nd","S","Channel Islands",31030,10.1,"0","0","no"
"Balkic, Mr. Cerin","male",26,"3rd","S","Bosnia",349248,7.1711,"0","0","no"
"Balls, Mrs. Ada E.","female",36,"2nd","S","England",28551,13,"0","0","yes"
"Banfield, Mr. Frederick James","male",28,"2nd","S","England",34068,10.1,"0","0","no"
"Banski, Mrs. Mara","female",31,"3rd","S","Hungary",349244,8.1308,"0","0","yes"
"Barbara, Miss. Saiide","female",18,"3rd","C","Lebanon",2691,14.0901,"0","1","no"
"Barbara, Mrs. Catherine David","female",45,"3rd","C","Lebanon",2691,14.0901,"0","1","no"
"Barber, Miss. Ellen Mary","female",27,"1st","S",NA,19877,78.17,"0","0","yes"
"Barkworth, Mr. Algernon Henry","male",47,"1st","S","England",27042,30,"0","0","yes"
"Barry, Miss. Julia","female",33,"3rd","Q","Ireland",330844,7.1707,"0","0","no"
"Barton, Mr. David John","male",22,"3rd","S","England",324669,8.01,"0","0","no"
"Bassani, Mrs. Albina","female",32,"1st","C","Italy",11813,76.051,"0","0","yes"
"Bateman, Revd. Robert James","male",52,"2nd","S","England",1166,12.1006,"0","0","no"
"Batoshev, Mr. Hristo Lalev","male",23,"3rd","S","Bulgaria",349217,7.1711,"0","0","no"
"Baumann, Mr. John D.","male",60,"1st","C","United States",17318,25.1806,"0","0","no"
"Baxter, Mr. Quigg Edmond","male",24,"1st","C","Canada",17558,247.1005,"0","1","no"
"Baxter, Mrs. Hélène","female",50,"1st","C","Canada",17558,247.1005,"0","1","yes"
"Beane, Mr. Edward","male",32,"2nd","S","England",2908,26,"1","0","yes"
"Beane, Mrs. Ethel","female",22,"2nd","S","England",2908,26,"1","0","yes"
"Beattie, Mr. Thomson","male",36,"1st","S","Canada",13050,75.041,"0","0","no"
"Beauchamp, Mr. Henry James","male",44,"2nd","S","England",244358,26,"0","0","no"
"Beavan, Mr. William Thomas","male",20,"3rd","S","England",323951,8.01,"0","0","no"
"Becker, Master. Richard F.","male",1,"2nd","S","India",230136,39,"2","1","yes"
"Becker, Miss. Marion Louise","female",4,"2nd","S","India",230136,39,"2","1","yes"
"Becker, Miss. Ruth Elizabeth","female",12,"2nd","S","India",230136,39,"2","1","yes"
"Becker, Mrs. Nellie E.","female",35,"2nd","S","United States",230136,39,"0","3","yes"
"Beckwith, Mr. Richard Leonard","male",37,"1st","S","United States",11751,52.1101,"1","1","yes"
"Beckwith, Mrs. Sallie","female",46,"1st","S","United States",11751,52.1101,"1","1","yes"
"Beesley, Mr. Lawrence","male",34,"2nd","S","England",248698,13,"0","0","yes"
"Behr, Mr. Karl Howell","male",26,"1st","C","United States",111369,30,"0","0","yes"
"Bengtsson, Mr. Johan Viktor","male",26,"3rd","S","Sweden",347068,7.1506,"0","0","no"
"Bentham, Miss. Lillian W.","female",19,"2nd","S","United States",28404,13,"0","0","yes"
"Berglund, Mr. Karl Ivar Sven","male",22,"3rd","S","Finland",4348,9.07,"0","0","no"
"Berriman, Mr. William John","male",23,"2nd","S","England",28425,13,"0","0","no"
"Bessette, Miss. Nellie Mayo","female",39,"1st","C","United States",17760,63.0702,"0","0","yes"
"Bidois, Miss. Rosalie","female",46,"1st","C",NA,17757,247.1006,"0","0","yes"
"Bing, Mr. Lee","male",32,"3rd","S",NA,1601,56.0911,"0","0","yes"
"Bird, Miss. Ellen","female",31,"1st","S","England",17483,221.1507,"0","0","yes"
"Birkeland, Mr. Hans Martin Monsen","male",21,"3rd","S","Norway",312992,7.1506,"0","0","no"
"Birnbaum, Mr. Jakob","male",24,"1st","C",NA,13905,26,"0","0","no"
"Bishop, Mr. Dickinson H.","male",25,"1st","C","United States",11967,91.0107,"1","0","yes"
"Bishop, Mrs. Helen","female",19,"1st","C","United States",11967,91.0107,"1","0","yes"
"Björklund, Mr. Ernst Herbert","male",18,"3rd","S","Sweden",347090,7.15,"0","0","no"
"Björnström-Steffansson, Mr. Mauritz Hokan","male",28,"1st","S","Sweden",110564,26.11,"0","0","yes"
"Blackwell, Mr. Stephen Weart","male",45,"1st","S","United States",113784,35.1,"0","0","no"
"Blank, Mr. Henry","male",39,"1st","C","United States",112277,31,"0","0","yes"
"Bonnell, Miss. Caroline","female",30,"1st","S","United States",36928,164.1704,"0","0","yes"
"Bonnell, Miss. Elizabeth","female",61,"1st","S","England",113783,26.11,"0","0","yes"
"Borebank, Mr. John James","male",41,"1st","S","England",110489,26.11,"0","0","no"
"Bostandyeff, Mr. Guentcho","male",26,"3rd","S",NA,349224,7.1711,"0","0","no"
"Botsford, Mr. William Hull","male",25,"2nd","S","United States",237670,13,"0","0","no"
"Bourke, Miss. Mary","female",40,"3rd","Q","Ireland",364848,7.15,"0","2","no"
"Bourke, Mr. John","male",42,"3rd","Q","Ireland",364849,15.1,"1","1","no"
"Bourke, Mrs. Catherine","female",32,"3rd","Q","Ireland",364849,15.1,"1","1","no"
"Bowen, Miss. Grace Scott","female",45,"1st","C","United States",17608,262.0706,"0","0","yes"
"Bowen, Mr. David John 'Dai'","male",26,"3rd","S","Wales",54636,16.02,"0","0","no"
"Bowenur, Mr. Solomon","male",42,"2nd","S",NA,211535,13,"0","0","no"
"Bowerman, Miss. Elsie Edith","female",22,"1st","S","England",113505,55,"0","1","yes"
"Bracken, Mr. James Hollen","male",30,"2nd","S","United States",220367,13,"0","0","no"
"Bradley, Miss. Bridget Delia","female",22,"3rd","Q","Ireland",334914,7.1406,"0","0","yes"
"Brady, Mr. John Bertram","male",41,"1st","S","United States",113054,30.1,"0","0","no"
"Braf, Miss. Elin Ester Maria","female",20,"3rd","S","Sweden",347471,7.1701,"0","0","no"
"Brailey, Mr. William Theodore Ronald","male",24,"2nd","S","England",250654,NA,NA,NA,"no"
"Brandeis, Mr. Emil Franklin","male",48,"1st","C","United States",17591,50.0911,"0","0","no"
"Braund, Mr. Lewis Richard","male",29,"3rd","S","England",3460,7,"1","0","no"
"Braund, Mr. Owen Harris","male",23,"3rd","S","England",21171,7.05,"1","0","no"
"Brereton, Mr. George Andrew","male",37,"1st","S","United States",111427,26.11,"0","0","yes"
"Brewe, Dr. Arthur Jackson","male",46,"1st","C","United States",112379,39.12,"0","0","no"
"Bricoux, Mr. Roger Marie","male",20,"2nd","S","France",250654,NA,NA,NA,"no"
"Brito, Mr. José Joaquim de","male",32,"2nd","S",NA,244360,13,"0","0","no"
"Brobäck, Mr. Karl Rudolf","male",22,"3rd","S","Sweden",350045,7.1511,"0","0","no"
"Brocklebank, Mr. William Alfred","male",40,"3rd","S","England",364512,8.01,"0","0","no"
"Brown, Miss. Amelia Mary","female",18,"2nd","S","England",248733,13,"0","0","yes"
"Brown, Miss. Edith Eileen","female",15,"2nd","S","South Africa",29750,39,"0","2","yes"
"Brown, Mrs. Caroline Lane","female",59,"1st","S","United States",11769,51.0907,"2","0","yes"
"Brown, Mrs. Elizabeth Catherine","female",40,"2nd","S","South Africa",29750,39,"1","1","yes"
"Brown, Mrs. Margaret","female",44,"1st","C","United States",17610,27.1405,"0","0","yes"
"Brown, Mr. Thomas William Solomon","male",60,"2nd","S","South Africa",29750,39,"1","1","no"
"Bryhl, Miss. Dagmar Jenny Ingeborg","female",20,"2nd","S","Sweden",236853,26,"1","0","yes"
"Bryhl, Mr. Kurt Arnold Gottfrid","male",25,"2nd","S","Sweden",236853,26,"1","0","no"
"Buckley, Miss. Katherine","female",22,"3rd","Q","Ireland",329944,7.0508,"0","0","no"
"Buckley, Mr. Daniel","male",21,"3rd","Q","Ireland",330920,7.1517,"0","0","yes"
"Bucknell, Mrs. Emma Eliza","female",58,"1st","C","India",11813,76.051,"0","0","yes"
"Bulus, Master. Akar","male",7,"3rd","C","Lebanon",2678,15.0411,"1","1","no"
"Bulus, Miss. Nur al-'ayn","female",10,"3rd","C","Lebanon",2678,15.0411,"1","1","no"
"Bulus, Mrs. Sultanah","female",40,"3rd","C","Lebanon",2678,15.0411,"0","2","no"
"Burke, Mr. Jeremiah","male",19,"3rd","Q","Ireland",365222,6.15,"0","0","no"
"Burns, Miss. Elizabeth Margaret","female",41,"1st","C",NA,16966,134.1,"0","0","yes"
"Burns, Miss. Mary Delia","female",17,"3rd","Q","Ireland",330963,7.1707,"0","0","no"
"Buss, Miss. Kate","female",36,"2nd","S","England",27849,13,"0","0","yes"
"Butler, Mr. Reginald Fenton","male",26,"2nd","S","England",234686,13,"0","0","no"
"Butrus-Ka'wi, Mr. Tannus","male",21,"3rd","C","Lebanon",2648,7.0407,"0","0","no"
"Butt, Major. Archibald Willingham","male",46,"1st","S","United States",113050,26.11,"0","0","no"
"Byles, Fr. Thomas Roussel Davids","male",42,"2nd","S","England",244310,13,"0","0","no"
"Byström, Mrs. Karolina","female",40,"2nd","S","United States",236852,13,"0","0","yes"
"Cacic, Miss. Manda","female",21,"3rd","S","Croatia (Modern)",315087,8.1303,"0","0","no"
"Cacic, Miss. Marija","female",30,"3rd","S","Croatia (Modern)",315084,8.1303,"0","0","no"
"Cacic, Mr. Jego Grga","male",18,"3rd","S","Croatia (Modern)",315091,8.1303,"0","0","no"
"Cacic, Mr. Luka","male",38,"3rd","S","Croatia (Modern)",315089,8.1303,"0","0","no"
"Cairns, Mr. Alexander Milne","male",28,"1st","S","Scotland",113798,31,"0","0","no"
"Calderhead, Mr. Edward Pennington","male",42,"1st","S","United States",17476,26.0509,"0","0","yes"
"Caldwell, Master. Alden Gates","male",0.8333333333,"2nd","S","Siam",248738,29,"0","2","yes"
"Caldwell, Mr. Albert Francis","male",26,"2nd","S","Siam",248738,29,"1","1","yes"
"Caldwell, Mrs. Sylvia Mae","female",28,"2nd","S","United States",248738,29,"1","1","yes"
"Calic, Mr. Jovo","male",17,"3rd","S","Croatia (Modern)",315093,8.1303,"0","0","no"
"Calic, Mr. Petar","male",17,"3rd","S","Croatia (Modern)",315086,8.1303,"0","0","no"
"Cameron, Miss. Clear Annie","female",35,"2nd","S","England",13528,21,"0","0","yes"
"Campbell, Mr. William Henry","male",21,"2nd","B","Northern Ireland",239853,NA,"0","0","no"
"Canavan, Miss. Mary","female",22,"3rd","Q","Ireland",364846,7.15,"0","0","no"
"Canavan, Mr. Patrick","male",21,"3rd","Q","Ireland",364858,7.15,"0","0","no"
"Candee, Mrs. Helen Churchill","female",52,"1st","C","United States",17606,27.0811,"0","0","yes"
"Cann, Mr. Ernest","male",29,"3rd","S","England",2152,8.01,"0","0","no"
"Caram, Mr. Joseph","male",28,"3rd","C","Canada",2689,14.0902,"1","0","no"
"Caram, Mrs. Maria Elias","female",18,"3rd","C","Lebanon",2689,14.0902,"1","0","no"
"Carbines, Mr. William","male",19,"2nd","S","England",28424,13,"0","0","no"
"Cardeza, Mrs. Charlotte Wardle","female",58,"1st","C","United States",17755,512.0607,"0","1","yes"
"Cardeza, Mr. Thomas Drake Martinez","male",36,"1st","C","United States",17755,512.0607,"0","1","yes"
"Carlsson, Mr. August Sigfrid","male",28,"3rd","S","Sweden",350042,7.1511,"0","0","no"
"Carlsson, Mr. Carl Robert","male",24,"3rd","S","Sweden",350409,7.1701,"0","0","no"
"Carlsson, Mr. Frans Olof","male",33,"1st","S","United States",695,5,"0","0","no"
"Carraú-Esteves, Mr. José Pedro","male",17,"1st","S","Uruguay",113059,47.02,"0","0","no"
"Carrau, Mr. Francisco Mauro Severiano","male",27,"1st","S","Uruguay",113059,47.02,"0","0","no"
"Carr, Miss. Jane","female",45,"3rd","Q","Ireland",368364,7.15,"0","0","no"
"Carter, Fr. Ernest Courtenay","male",54,"2nd","S","England",244252,26,"1","0","no"
"Carter, Master. William Thornton II","male",11,"1st","S","United States",113760,120,"1","2","yes"
"Carter, Miss. Lucile Polk","female",13,"1st","S","United States",113760,120,"1","2","yes"
"Carter, Mrs. Lilian","female",45,"2nd","S","England",244252,26,"1","0","no"
"Carter, Mrs. Lucile","female",36,"1st","S","United States",113760,120,"1","2","yes"
"Carter, Mr. William Ernest","male",36,"1st","S","United States",113760,120,"1","2","yes"
"Carver, Mr. Alfred John","male",28,"3rd","S","England",370160,7.05,"0","0","no"
"Case, Mr. Howard Brown","male",49,"1st","S","United States",19924,26,"0","0","no"
"Cassebeer, Mrs. Eleanor Genevieve","female",36,"1st","C","United States",17770,27.1405,"0","0","yes"
"Cavendish, Mrs. Julia Florence","female",25,"1st","S","United States",19877,78.17,"1","0","yes"
"Cavendish, Mr. Tyrell William","male",36,"1st","S","England",19877,78.17,"1","0","no"
"Celotti, Mr. Francesco","male",24,"3rd","S",NA,343275,8.01,"0","0","no"
"Chaffee, Mr. Herbert Fuller","male",46,"1st","S","United States",5734,61.0306,"1","0","no"
"Chaffee, Mrs. Carrie Constance","female",47,"1st","S","United States",5734,61.0306,"1","0","yes"
"Chambers, Mr. Norman Campbell","male",27,"1st","S","United States",113806,53.02,"1","0","yes"
"Chambers, Mrs. Bertha","female",32,"1st","S","United States",113806,53.02,"1","0","yes"
"Chapman, Mr. Charles Henry","male",52,"2nd","S","United States",248731,13.1,"0","0","no"
"Chapman, Mr. John Henry","male",37,"2nd","S","England",29037,26,"1","0","no"
"Chapman, Mrs. Sara Elizabeth","female",29,"2nd","S","England",29037,26,"1","0","no"
"Charters, Mr. David","male",20,"3rd","Q","Ireland",13032,7.1408,"0","0","no"
"Chaudanson, Miss. Victorine","female",36,"1st","C",NA,17608,262.0706,"0","0","yes"
"Cherry, Miss. Gladys","female",30,"1st","S","England",110152,86.1,"0","0","yes"
"Chevré, Mr. Paul Romaine Marie Léonce","male",45,"1st","C","Belgium",17594,29.14,"0","0","yes"
"Chibnall, Mrs. Edith Martha Bowerman","female",48,"1st","S","England",113505,55,"0","1","yes"
"Chip, Mr. Chang","male",32,"3rd","S",NA,1601,56.0911,"0","0","yes"
"Chisholm, Mr. Roderick Robert Crispin","male",43,"1st","B","Scotland",112051,NA,"0","0","no"
"Christmann, Mr. Emil","male",29,"3rd","S","England",343276,8.01,"0","0","no"
"Christy, Miss. Rachel Juli Cohen","female",25,"2nd","S","England",237789,30,"1","1","yes"
"Christy, Mrs. Alice Frances","female",52,"2nd","S","England",237789,30,"0","2","yes"
"Chronopoulos, Mr. Apostolos M.","male",26,"3rd","C",NA,2680,14.0901,"1","0","no"
"Chronopoulos, Mr. Dimitrios M.","male",21,"3rd","C",NA,2680,14.0901,"1","0","no"
"Clarke, Mr. Charles Valentine","male",29,"2nd","S","England",2003,26,"1","0","no"
"Clarke, Mr. John Frederick Preston","male",28,"2nd","S","England",250654,NA,NA,NA,"no"
"Clarke, Mrs. Ada Maria","female",28,"2nd","S","England",2003,27,"1","0","yes"
"Clark, Mrs. Virginia Estelle","female",26,"1st","C","United States",13508,136.1507,"1","0","yes"
"Clark, Mr. Walter Miller","male",27,"1st","C","United States",13508,136.1507,"1","0","no"
"Cleaver, Miss. Alice Catherine","female",22,"1st","S","England",113781,151.16,"0","0","yes"
"Clifford, Mr. George Quincy","male",40,"1st","S","United States",110465,52,"0","0","no"
"Coelho, Mr. Domingos Fernandeo","male",20,"3rd","S",NA,3101307,7.01,"0","0","no"
"Cohen, Mr. Gurshon","male",18,"3rd","S","England",3540,8.01,"0","0","yes"
"Colbert, Mr. Patrick","male",24,"3rd","Q","Ireland",371109,7.05,"0","0","no"
"Coleff, Mr. Satio","male",24,"3rd","S","Bulgaria",349209,7.1711,"0","0","no"
"Coleridge, Mr. Reginald Charles","male",29,"2nd","S","England",14263,10.1,"0","0","no"
"Collander, Mr. Erik Gustaf","male",27,"2nd","S","Finland",248740,13,"0","0","no"
"Collett, Mr. Sidney Clarence Stuart","male",25,"2nd","S","England",28034,10.1,"0","0","yes"
"Colley, Mr. Edward Pomeroy","male",37,"1st","S","Ireland",5727,25.1109,"0","0","no"
"Collyer, Miss. Marjorie Lottie","female",8,"2nd","S","England",31921,26.05,"0","2","yes"
"Collyer, Mr. Harvey","male",31,"2nd","S","England",31921,26.05,"1","1","no"
"Collyer, Mrs. Charlotte Caroline","female",30,"2nd","S","England",31921,26.05,"1","1","yes"
"Coltcheff, Mr. Peju","male",36,"3rd","S","Bulgaria",349210,7.1711,"0","0","no"
"Compton, Miss. Sara Rebecca","female",39,"1st","C","United States",17756,83.0302,"1","1","yes"
"Compton, Mr. Alexander Taylor jr","male",37,"1st","C","United States",17756,83.0302,"1","1","no"
"Compton, Mrs. Mary Eliza","female",64,"1st","C","United States",17756,83.0302,"0","2","yes"
"Conlin, Mr. Thomas Henry","male",31,"3rd","Q","United States",21332,7.1408,"0","0","no"
"Connaughton, Mr. Michael","male",40,"3rd","Q","Ireland",335097,7.15,"0","0","no"
"Connolly, Miss. Catherine","female",23,"3rd","Q","Ireland",370373,7.15,"0","0","yes"
"Connolly, Miss. Kate","female",41,"3rd","Q","Ireland",330972,7.1207,"0","0","no"
"Connors, Mr. Patrick","male",66,"3rd","Q","Ireland",370369,7.15,"0","0","no"
"Cook, Mr. Jacob","male",43,"3rd","S",NA,3536,8.01,"0","0","no"
"Cook, Mrs. Selena","female",22,"2nd","S","England",14266,10.1,"0","0","yes"
"Corbett, Mrs. Irene","female",30,"2nd","S","United States",237249,13,"0","0","no"
"Corey, Mrs. Mary Emma","female",32,"2nd","S",NA,13534,21,"0","0","no"
"Cor, Mr. Bartol","male",35,"3rd","S","Croatia (Modern)",349230,7.1711,"0","0","no"
"Cor, Mr. Ivan","male",27,"3rd","S","Hungary",349229,7.1711,"0","0","no"
"Cor, Mr. Liudevit","male",19,"3rd","S","Hungary",349231,7.1711,"0","0","no"
"Cornblatt, Mr. Harris","male",30,"3rd","S","Poland",392090,8.01,"0","0","no"
"Cornell, Mrs. Malvina Helen","female",55,"1st","S","United States",11770,25.141,"2","0","yes"
"Corr, Miss. Ellen","female",16,"3rd","Q","Ireland",367231,7.15,"0","0","yes"
"Cotterill, Mr. Henry","male",21,"2nd","S","England",29107,11.1,"0","0","no"
"Coutts, Master. Neville Leslie","male",3,"3rd","S","England",37671,15.18,"1","1","yes"
"Coutts, Master. William Loch","male",9,"3rd","S","England",37671,15.18,"1","1","yes"
"Coutts, Mrs. Winnie","female",36,"3rd","S","England",37671,15.18,"0","2","yes"
"Coxon, Mr. Daniel","male",58,"3rd","S","England",364500,7.05,"0","0","no"
"Crafton, Mr. John Bertram","male",59,"1st","S","United States",113791,26.11,"0","0","no"
"Crease, Mr. Ernest James","male",20,"3rd","S","United States",3464,8.0302,"0","0","no"
"Cribb, Miss. Laura Mae","female",16,"3rd","S","United States",371362,16.02,"0","1","yes"
"Cribb, Mr. John Hatfield","male",43,"3rd","S","Australia",371362,16.02,"0","1","no"
"Crosby, Captain. Edward Gifford","male",70,"1st","S","United States",5735,71,"1","1","no"
"Crosby, Miss. Harriette Rebecca","female",39,"1st","S","United States",112901,26.11,"0","2","yes"
"Crosby, Mrs. Catherine Elizabeth","female",64,"1st","S","United States",5735,71,"1","1","yes"
"Culumovic, Mr. Jeso","male",17,"3rd","S","Croatia (Modern)",315090,8.1303,"0","0","no"
"Cumings, Mr. John Bradley","male",39,"1st","C","United States",17599,71.0508,"1","0","no"
"Cumings, Mrs. Florence Briggs","female",35,"1st","C","Peru",17599,71.0508,"1","0","yes"
"Cunningham, Mr. Alfred Fleming","male",22,"2nd","B","Northern Ireland",239853,NA,"0","0","no"
"Daher, Mr. Tannous","male",28,"3rd","C",NA,2686,7.0407,"0","0","no"
"Dahlberg, Miss. Gerda Ulrika","female",22,"3rd","S","Sweden",7552,10.1004,"0","0","no"
"Dahl, Mr. Charles Edward","male",45,"3rd","S",NA,7598,8.01,"0","0","yes"
"Dakic, Mr. Branko","male",19,"3rd","S",NA,349228,10.0305,"0","0","no"
